Unnamed: 1_level_0 # Pl_for,Playing Time Min_for,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Playing Time Min_against,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
5,3415,76,179,105,59.8,6,11,21,6,5,4,1,0,20.0,3420,38,138,98,74.6,14,5,3,2,0,40.0
2,3420,74,215,142,67.9,5,7,26,5,5,5,0,0,0.0,3416,24,127,101,85.8,20,8,6,2,0,25.0
3,3420,51,156,104,71.2,12,7,19,14,7,6,1,0,14.3,3420,34,128,95,75.0,17,3,2,1,0,33.3
3,3420,58,183,127,71.0,11,13,14,10,6,5,0,1,0.0,3420,44,123,81,68.3,13,5,5,0,0,0.0
2,3420,61,170,108,67.6,5,5,28,6,7,6,1,0,14.3,3420,24,114,89,82.5,23,6,4,2,0,33.3
3,3420,44,144,100,70.8,22,10,6,10,4,2,2,0,50.0,3420,94,276,184,68.8,6,10,8,1,1,11.1
3,3420,59,149,90,64.4,14,7,17,10,8,6,2,0,25.0,3420,66,170,105,63.5,9,5,4,0,1,0.0
2,3420,58,150,92,64.7,17,7,14,14,8,5,1,2,16.7,3420,49,179,130,74.9,9,5,4,1,0,20.0
2,3420,38,164,124,78.7,22,7,9,12,5,3,2,0,40.0,3420,65,183,120,68.9,6,8,8,0,0,0.0
3,3420,50,157,104,71.3,18,7,13,11,8,5,3,0,37.5,3420,57,167,110,68.3,8,5,4,1,0,20.0
